id,prompt,A,B,C,D,E,answer
3172,What are protein-protein interactions (PPIs) based on?,"Electrostatic forces, hydrogen bonding, and the hydrophobic effect",Enzymatic reactions and cell signaling,Protein synthesis and genetic information,Immune response and antibody production,Cellular respiration and energy production,A
3173,Which organization initiated the Australasian Ornithological Conference?,Royal Australasian Ornithologists Union,BirdLife Australia,Ornithological Society of New Zealand,Southern Hemisphere Ornithological Congress,Birds Australia,A
3174,What is the purpose of the Superfund program?,To investigate and cleanup sites contaminated with hazardous substances,To establish federal environmental remediation policies,"To administer the Comprehensive Environmental Response, Compensation, and Liability Act",To manage Superfund sites across the country,To recover costs from responsible parties through legal means,A
3175,What is the main purpose of a plasmonic lens in nano-optics?,To redirect SPPs to converge towards a single focal point,To generate SPPs with very small wavelengths,To increase the diffraction limit of SPPs,To convert SPPs into free space wavelength,To couple SPPs with diffraction grating couplers,A
3176,What is the purpose of a winding machine or winder?,"To wrap string, twine, cord, thread, yarn, rope, wire, ribbon, tape, etc. onto a spool, bobbin, reel, etc.",To weave yarn into fabric,To wind yarn from skein form into balls,To sense how full the center roll is,To facilitate greater speed and torque,A
3177,What technologies support the development of cloud manufacturing?,"Cloud computing, Internet of Things (IoT), virtualization, and advanced computing technologies.",Advanced manufacturing models and enterprise information technologies.,"Design, simulation, production, test, and maintenance technologies.",Manufacturing resources and manufacturing capabilities.,"High quality, cheap, and on-demand manufacturing services.",A
3178,What is the equivalence principle in the theory of general relativity?,The equivalence of gravitational and inertial mass,The observation of the gravitational force on Earth as the same as the pseudo-force in an accelerated frame of reference,The numerical equality between inertial mass and gravitational mass and acceleration,The independence of the body's nature of acceleration imparted by the gravitational field,The equality between gravity and inertia,A
3179,What is the purpose of grafting in horticulture?,To combine the tissues of plants,To duplicate desired genes in future production,To grow plants together at the soil line,To select the desired plant cultivar,To join the vascular tissues,B
3180,"What does the ""Model"" field in the table represent?",The internal engineering codename for the processor,The marketing name for the processor,The amount of graphics memory available to the processor,The number of streaming multiprocessors,The factory core clock frequency,B
3181,"What does the ""Bus interface"" field in the table describe?",The internal engineering codename for the processor,The marketing name for the processor,The amount of graphics memory available to the processor,The fabrication process,The bus by which the graphics processor is attached to the system,E
3182,"What does the ""SM Count"" field in the table represent?",The internal engineering codename for the processor,The marketing name for the processor,The amount of graphics memory available to the processor,The number of streaming multiprocessors,The factory core clock frequency,D
3183,"What does the ""Core config"" field in the table describe?","The layout of the graphics pipeline, in terms of functional units",The marketing name for the processor,The amount of graphics memory available to the processor,The number of streaming multiprocessors,The factory core clock frequency,A
3184,"What does the ""Fillrate"" field in the table represent?",The internal engineering codename for the processor,The marketing name for the processor,The amount of graphics memory available to the processor,The maximum theoretical fill rate in textured pixels per second,The factory core clock frequency,D
3185,Which university was associated with the founding of the Space Studies Institute?,Harvard University,Princeton University,Columbia University,Yale University,Stanford University,B
3186,Where did the Space Studies Institute move its operations to in 2009?,"Los Angeles, California","San Francisco, California","San Diego, California","Mojave, California","Sacramento, California",D
3187,What is one of the initiatives that the Space Studies Institute is involved in?,Developing a new rocket engine,Creating a space tourism program,Building a new space station,Developing a solar sail project,Exploring the possibility of time travel,D
3188,What has received increasing attention in recent years in space settlement?,The colonization of Mars,The development of space tourism,The use of extraterrestrial resources,The study of black holes,The search for intelligent life,C
3189,What was the Space Studies Institute's first program?,The development of prototype mass driver systems,The creation of a lunar colony,The study of wormholes,The testing of a new rocket propulsion system,The exploration of the outer planets,A
3190,What is the main focus of the Beni Abbes Museum?,Desert fauna,Fossils,Algerian arts and crafts,Different types of dates,All of the above,E
3191,What is one of the main areas of focus in digital ecology?,The impact of electronic waste (e-waste),The impact of digital pollution on human health,The impact of digital technologies on social interactions,The impact of digital technologies on economic growth,The impact of digital technologies on education,A
3192,What is a needle drop?,A vinyl rip or record rip,A type of advertising industry audio,A version of a recording transferred to digital audio,A substitute for original music in commercials,A trading practice among music collectors,C
3193,What are the main molecular characteristics that distinguish Trichoderma asperellum from Trichoderma viride?,Divergent ITS-1 and 28S sequences and RFLP's of the endochitinase gene,Conidial ornamentation and arrangement and branching of the conidiophores,Commercial and experimental use as a biopesticide for plant disease control,Previous placement in T. harzianum,Family Hypocreaceae,A
3194,What is the purpose of Elastic Recoil Detection Analysis (ERDA)?,To obtain elemental concentration depth profiles in thin films,To study the kinetics of ions,To determine the loss of energy of ions in matter,To characterize the atoms of the target sample,To analyze the cross section area of the ions,A
3195,What is the purpose of a structural support in a building or structure?,To resist external loads and guide internal forces safely to the ground,To provide aesthetics and enhance the visual appeal of the structure,To increase the weight and stiffness of the building materials,To reduce the need for accurate and safe connection designs,To solely rely on the weight and stiffness of the building materials,A
3196,What are L-RNA aptamers made of?,D-ribose units,L-ribose units,Deoxyribose units,Phosphate groups,Nucleobases,B
3197,What is the flow arrangement in parallel-flow heat exchangers?,The two fluids enter the exchanger at the same end and travel in parallel to one another,The two fluids enter the exchanger at opposite ends and travel in opposite directions,The two fluids enter the exchanger at different ends and travel in parallel to one another,The two fluids enter the exchanger at the same end and travel in opposite directions,The two fluids enter the exchanger at different ends and travel in opposite directions,A
3198,When was NGC 2525 discovered?,"February 23, 1791","November 11, 1832","September 5, 1867","June 14, 1912","April 30, 1955",A
3199,Which disease is prominently featured in Fyodor Dostoevsky's novel Crime and Punishment?,Huntington's disease,Tuberculosis,The Black Death,Consumptive nihilism,The Andromeda Strain,B
3200,Where did Günter Harder receive his doctoral degree?,Hamburg,Göttingen,Princeton,Heidelberg,Bonn,A
3201,What is immunoscreening used for?,Detecting polypeptides in cloned genes,Identifying different types of antigens,Screening for the presence of primary antibodies,Analyzing antibody-peptide interactions,Commercially purchasing secondary antibodies,A
3202,Who founded ArtemiFlow?,Dirk Pohlmann,Kerry Gilmore,Andreas Seidel-Morgenstern,Peter Seeberger,Melinda Gates,D
3203,Which regions are included in the Neotropical realm?,South America and Central America,Asia and Europe,Australia and Africa,North America and Europe,Antarctica and Asia,A
3204,What are the important things to measure and note when taking forest inventory?,"Temperature, humidity, and precipitation","Density, biomass, and carbon stock","Species, diameter at breast height (DBH), height, site quality, age, and defects","Leaf area index, evapotranspiration, and soil moisture","Wind speed, direction, and atmospheric pressure",C
3205,What color are Septimus Heap's wizard eyes?,Green,Blue,Brown,Hazel,Gray,A
3206,What is the purpose of DNA‐templated organic synthesis (DTS)?,To control the reactivity of synthetic molecules,To alter the genomic structure of DNA,To replicate prebiotic nucleic acids,To translate DNA sequences into complex small-molecule and polymer products,To rearrange the atoms in target base pairs,D
3207,Which base editor allows changing the nucleobase C to T?,BE3,BE4,ABE7,BE3 and BE4,BE4 and ABE7,D
3208,What does ABE7 allow changing in DNA?,Nucleobase C to T,Nucleobase G to A,A-T base pairs into G-C base pairs,A-T base pairs into C-T base pairs,G-C base pairs into A-T base pairs,C
3209,What are the two categories of flexibility in a flexible manufacturing system?,Routing flexibility and machine flexibility,Material handling and machine flow,Work machines and central control computer,Reduced manufacturing cost and shorter lead times,Industrial FMS communication and flexibility in manufacturing,A
3210,In which country was Digga created?,England,Australia,United States,Canada,Germany,B
3211,What is engineering economics focused on?,The use of economic principles in engineering decisions,The study of individual and firm behavior in resource allocation,The integration of economic theory with engineering practice,The assumption of fixed inputs from other sources,The analytical power of mathematics and statistics,A
3212,What is the most accepted absolute scale?,Celsius temperature scale,Fahrenheit temperature scale,Kelvin temperature scale,Rankine temperature scale,Reaumur temperature scale,C
3213,Where is the Valley View Leasing and Mining Company Mill located?,"Near Ophir, Colorado",Trout Lake Mining District,Lizard Head Pass,San Bernardo Mountain,Lake Fork of the San Miguel River,B
3214,What is dominance in genetics?,The masking effect of one gene variant over another gene variant,The presence of two different variants of the same gene on each chromosome,The phenomenon of a gene mutating and causing two different variants on each chromosome,The inheritance and presentation pattern that depends on the sex of both the parent and the child,The partial effect of a gene variant compared to when it is present on both chromosomes,A
3215,What is the purpose of TA cloning?,To avoid the use of restriction enzymes in subcloning,To create linearized vectors with thymine overhangs,To amplify PCR products using Taq DNA polymerase,To create inserts with guanines at the 5' end,To create PCR products with adenine overhangs,A
3216,What was the purpose of developing the Heckler & Koch XM8 rifle?,To replace the M4 carbine,"To develop a ""smart"" grenade launcher system",To provide replacement options for the M16 rifle,To meet performance and weight requirements,To share design and engineering with the G36 rifle,A
3217,What is the distinguishing feature of Moto Z Play compared to the Moto Z?,Larger battery,Thinner body,Higher resolution display,Better camera,Faster processor,A
3218,Which space-time was the stability of slowly rotating Kerr black holes proven in 2016?,de Sitter space,Schwarzschild space-time,Minkowski space-time,Kerr space-time,General relativity,A
3219,Who is the protagonist in Crysis Warhead?,Nomad,Psycho,Sergeant Michael,Crytek,Budapest,B
3220,What is tanking in sports?,Intentionally fielding non-competitive teams,Trading away star players to reduce payroll,Achieving a pre-determined result for sports betting,Promotion and relegation system in closed leagues,Playing bench players to fall in the standings,A
3221,What is the main reason for the surge in popularity of hack-for-hire operations in recent years?,Advancements in technology,Growing digital connectivity,Increasing demand for corporate espionage,Increasing demand for personal data breaches,All of the above,E
3222,What is the primary focus of the cognitive interview?,To minimize misinterpretation and uncertainty,To gather accurate eyewitness reports,To generate confabulations during questioning,To determine the reliability of eyewitnesses,To create training programs for police investigators,A
3223,What is the purpose of a standing wave ratio meter (SWR meter)?,To measure the impedance of a transmission line,To measure the power output of a transmitter,To measure the SWR in a transmission line,To measure the frequency of a radio signal,To measure the efficiency of an antenna,C
3224,What is the challenge that arises in social tagging systems?,Lack of top-down mediation,Rapid increase in the number and diversity of tags,Difficulty in finding relevant information,Lack of user engagement,Difficulty in interpreting social tags,B
3225,Where was Chubak Vasyl born?,"Mushkativka, Borshchiv raion, Ternopil Oblast, Ukraine","Ternopil, Ukraine","Kyiv, Ukraine","Lviv, Ukraine","Kharkiv, Ukraine",A
3226,Which country developed the M270 Multiple Launch Rocket System (MLRS)?,United States,Soviet Union,NATO,Ukraine,Russia,A
3227,How are proteins most often classified?,By their three-dimensional structure,By their chemical composition,By their electrical charge,By their size,By their function,A
3228,Who founded Roku?,Anthony Wood,ReplayTV,Netflix,TiVo,Project:Griffin,A
3229,What are the key resources for plants?,Carbon dioxide,Microsite,Nutrients,Seed dispersal,Water,A
3230,What are the key resources for animals?,Foraging,Territory,Water,Pollination,Soil,A
3231,What plays a central role in ecological processes?,Carrying capacity,Biological competition,Liebig's law of the minimum,Niche differentiation,Microsite,A
3232,What is the main focus of financial economics?,The interrelation of financial variables,The study of market microstructure,The allocation and deployment of economic resources,The application of decision theory to investment management,The mathematical modeling of financial markets,A
3233,When was the Structural Engineering Association of Alaska (SEAAK) established?,2007,2010,2013,2015,2005,A
3234,What is the goal of technorealism?,To promote technology,To dismiss technology,To understand technology,To control technology,To align technology with basic human values,E
3235,What is rapid prototyping?,A technique used to fabricate physical parts using CAD data,A method used to create 2D images from volumetric data,A process that involves CNC subtractive methods,A technology used by sculptors in the 19th century,A method used to manufacture large quantities of parts,A
3236,What is the purpose of a dyadic tensor in multilinear algebra?,To represent physical or geometric information,To compute dot products of Euclidean vectors,To generate scalar values from two vectors,To perform vector addition and scalar multiplication,To interpret geometric relationships between vectors,A
3237,What is a hydra game in mathematics?,A game played on a mathematical tree called a hydra,A game played on a mathematical graph called a hydra,A game played on a mathematical cycle called a hydra,A game played on a mathematical node called a hydra,A game played on a mathematical root called a hydra,A
3238,What is the definition of the partition function p(n) in number theory?,The number of distinct ways to represent a non-negative integer n as a sum of positive integers.,The number of prime numbers in the range from 1 to n.,The number of factors that n has.,The number of partitions of n that have an even number of terms.,The number of partitions of n that start with an odd number.,A
3239,Which two landmasses would a Bering Strait crossing connect?,Chukotka Peninsula and Seward Peninsula,Bering Island and Aleutian Islands,Greenland and Iceland,Kamchatka Peninsula and Hokkaido,Tierra del Fuego and Cape Horn,A
3240,Who was the mathematician known for his contribution of presenting Yang Hui's Triangle?,Yang Hui,Qin Jiushao,Jia Xian,Liu Ruxie,None of the above,C
3241,What are the six independent parameters that define an orbit of an exoplanet?,"semi-major axis, eccentricity, longitude of periastron, time of periastron, inclination, longitude of the ascending node","semi-major axis, eccentricity, longitude of periastron, time of periastron, inclination, longitude of the descending node","semi-major axis, eccentricity, longitude of periastron, time of periastron, inclination, latitude of the ascending node","semi-major axis, eccentricity, longitude of periastron, time of periastron, inclination, latitude of the descending node","semi-major axis, eccentricity, longitude of periastron, time of periastron, inclination, longitude of the orbit",A
3242,What is mining engineering associated with?,Chemical engineering,Civil engineering,Electrical engineering,Mechanical engineering,Mining engineering,E
3243,What is the main feature that forms much of the eastern boundary of Malawi?,The Great Rift Valley,Lake Malawi,The Shire River,The lower Zambezi,Neighbouring Mozambique,B
3244,When was The Journal of Nutritional Biochemistry established?,1970,1990,1980,1960,1950,A
3245,What is the definition of paleopathology?,"The study of ancient diseases and injuries in organisms through the examination of fossils, mummified tissue, skeletal remains, and analysis of coprolites","The study of modern diseases and injuries in organisms through the examination of fossils, mummified tissue, skeletal remains, and analysis of coprolites","The study of ancient diseases and injuries in organisms through the examination of living tissue, skeletal remains, and analysis of coprolites","The study of ancient diseases and injuries in organisms through the examination of fossils, living tissue, and analysis of coprolites","The study of ancient diseases and injuries in organisms through the examination of fossils, mummified tissue, and analysis of coprolites",A
3246,What is one benefit of using sand-based athletic fields?,Efficient drainage during rainfall,Enhanced filtration for preventing fungal diseases,Reduced maintenance compared to other types of fields,Increased availability of nutrients for turf growth,Improved playing surface for athletes,A
3247,What are Chirgwin-Coulson weights in modern valence bond theory calculations?,Relative weights of a set of possible VB structures of a molecule,Relative weights of basis orbitals in a wave function,Relative weights of molecular orbitals in a VB structure,Relative weights of constituent orbitals in a wave function,Relative weights of non-orthogonal wave functions,A
3248,What is Sara Margaret Rankin known for?,Her work in stimulating endogenous bone marrow stem cells,Her career in radiotherapy,Her research in neurodiversity,Her work in regenerating tissue,Her research on dyslexia and dyspraxia,A
3249,What is the purpose of a finger cot in medicine?,To limit patient exposure to infection,To protect health professionals from bodily fluids,To secure dressings on a finger,To apply topical medication,All of the above,E
3250,What is a liquid junction interface in mass spectrometry?,An ion source that couples capillary electrophoresis to mass spectrometry,A device that provides electrical contact for capillary electrophoresis,An interface where the analyte is in direct contact with the high voltage supply,A means of on-line desalting in conjunction with mass spectrometry,A device that simplifies interface or source design in mass spectrometry,A
3251,"Which of the following is an example of a bio-based material that can be used in packaging, clothing, and furniture?",Wood,Leather,Silk,Wool,Polylactic acid (PLA),A
3252,What is the main role of phytase enzymes?,Catalyze the hydrolysis of phytic acid,Break down animal tissues,Produce usable form of inorganic phosphorus,Enhance plant growth,Convert organic phosphorus into inorganic phosphorus,A
3253,When did the break-up of Gondwana begin?,85 million years ago,70 million years ago,1300 AD,Cretaceous period,Today,A
3254,"What does the signature (v, p, r) of a metric tensor represent in mathematics?","The number of positive, negative, and zero eigenvalues of the metric tensor",The dimensions of a maximal positive and null subspace,The dimensions of the time and space dimensions in relativistic physics,The dimensions of the virtual and physical dimensions in relativistic physics,The dimensions of a positive definite signature,A
3255,What are some objects studied in discrete mathematics?,Real numbers,Calculus,Euclidean geometry,Integers,Continuous functions,D
3256,What is G-jitter?,A form of residual acceleration in space,A type of spacecraft,A method for predicting acceleration,An experimental data collection technique,A routine crew activity,A
3257,"What is the traditional method of cleaning shell and tube heat exchangers, condensers, and chillers?",Manual scrubbing with a wire brush attached to a long rod,Using pneumatic or electric motors to pulsate a brush with a water jet,Using air pressure or vacuum to test for leaks and cracks,Installing tube plugs to take leaky tubes out of service,Using tube cutters to internally cut the tube from the inside,A
3258,What is the goal of the 100K Pathogen Genome Project?,To create a database of bacterial genome sequences for use in public health,To develop tests to identify pathogens and trace their origins,"To sequence the genomes of 100,000 infectious microorganisms",To speed up the diagnosis of foodborne illnesses,To shorten infectious disease outbreaks,C
3259,What is the primary focus of bioastronautics?,Study and support of life in space,Design of payloads and space habitats,Assessment of exposure risks in space flight,Characterization of Moon dust,Development of chemical monitoring techniques,A
3260,What is the main focus of lean manufacturing?,Reducing response times from suppliers,Increasing production system efficiency,Maximizing productivity in the manufacturing process,Eliminating activities that do not add value for the customer,Involving people outside of the manufacturing process,D
3261,When was the latest lunar occultation of Venus observed?,7th December 2015,19 June 2020,8 November 2021,24 March 2023,2035,D
3262,What invention did NABDA announce in July 2019?,Anaerobic Digestion Technology digesters,Locally made testing kits for Coronavirus,Reliable and affordable drugs for Lassa fever,Starter culture for yoghurt preparation,Insect and drought-resistant maize,A
3263,What is the economic potential of carbon capture and storage (CCS) according to the IPCC?,5% of the total carbon mitigation effort until 2100,15% of the total carbon mitigation effort until 2100,25% of the total carbon mitigation effort until 2100,35% of the total carbon mitigation effort until 2100,45% of the total carbon mitigation effort until 2100,E
3264,What is the prognosis of progressive muscular atrophy compared to amyotrophic lateral sclerosis (ALS)?,33% survival rate at 5 years and 12% survival rate at 10 years,20% survival rate at 5 years and 6% survival rate at 10 years,50% survival rate at 5 years and 20% survival rate at 10 years,10% survival rate at 5 years and 33% survival rate at 10 years,6% survival rate at 5 years and 12% survival rate at 10 years,A
3265,What is the purpose of ontology engineering?,To study the methods for building ontologies,To develop software applications,To solve inter-operability problems,To represent abstract concepts,To improve automated processing of information,E
3266,Who is Dieter Held known for discovering?,The Mathieu group M24,The Deutsche Forschungsgemeinschaft,The Held group,The Australian National University,The International Congress of Mathematicians,C
3267,Who created the character Honey Lemon?,Steven T. Seagle and Duncan Rouleau,Stan Lee and Jack Kirby,Chris Claremont and John Byrne,Brian Michael Bendis and Mark Bagley,Dan Slott and Mike Allred,A
3268,What are the four phases of eukaryotic translation?,"Initiation, elongation, termination, and recapping","Initiation, transcription, termination, and elongation","Elongation, termination, initiation, and recapping","Initiation, elongation, recapping, and transcription","Recapping, initiation, elongation, and termination",A
3269,What is the definition of biomolecular engineering?,The application of engineering principles to the manipulation of molecules of biological origin,The study of chemical processes in living organisms,The synthesis of large quantities of penicillin,The manipulation of enzymes and antibodies for medical purposes,The integration of knowledge of biological processes with chemical engineering,A
3270,What caused the Fukushima Daiichi nuclear disaster?,Equipment failures,Nuclear meltdowns,Releases of radioactive materials,Tōhoku earthquake,Tsunami,E
3271,Who founded the Bogoliubov Prize?,Anton Grigorievich Naumovets,Leonid A. Pastur,Sergiy Peletminsky,Nikolay Bogoliubov,Vasiliy S. Vladimirov,D
3272,What is one of the injuries that adults can sustain while using a toilet?,Bruised buttocks and tail bones,Sprained ankles,Fractured wrists,Stiff neck,Sore throat,A
3273,What is the concept of substantial equivalence in food safety?,Comparing the safety of a new genetically modified food with a similar traditional food that has proven safe over time,Evaluating the nutritional differences in new food compared to a conventional counterpart,Establishing toxicological differences in new food compared to a conventional counterpart,Testing the safety of a new genetically modified food without comparing it to a traditional food,Assessing the safety of a new genetically modified food based on its origin,A
3274,What is the term coined by George Gamow to fully understand our own planet?,Comparative planetology,Space science,Planetary science,Astrobiology,Geophysics,A
3275,What is the unique glazing process used by Blue Mountain Pottery?,Flowing decorating,Hand-painted motifs,Red clay production,Green hues,Animal figurines,A
3276,What is the most common adverse reaction to Naxitamab?,Infusion-related reactions,Pain,Tachycardia,Vomiting,Cough,A
3277,Who is the creator of Gitea?,Lunny Xiao,Gogs,Open Collective,macOS,Windows,A
3278,What is the stacking-fault energy (SFE) and how is it measured?,The SFE is a measure of the repulsive force between two partial dislocations.,The SFE is a measure of the attractive force due to the surface tension of the stacking fault.,The SFE is a measure of the interruptions in the normal stacking sequence of atomic planes.,The SFE is a measure of the ability of a dislocation in a crystal to glide onto an intersecting slip plane.,The SFE is a measure of the width of the stacking fault.,D
3279,What is stellar engineering?,Creating or modifying stars through artificial means,Exploring stars for useful material,Mining stars for energy resources,Creating new stars,Stabilizing or prolonging the lifetime of stars,A
3280,What is the chip-firing game?,A game played on a graph where chips are transferred between vertices,A game played on a chessboard where chips are moved around,A game played with playing cards where chips are collected,A game played on a computer screen where chips are eliminated,A game played on a board where chips are stacked,A
3281,What is one of the challenges in museum architecture?,Preserving the museum collection,Creating a visually appealing design,Maximizing public accessibility,Ensuring climate control,Incorporating multiple purposes,E
3282,Which museum is an important architectural landmark?,Museum of the History of Science building,Australian War Memorial,Ashmolean Museum,Solomon R. Guggenheim Museum,Museum of Modern Art,D
3283,What is the importance of civilian control of the military?,It ensures democratic values and good governance,It increases the effectiveness of the military,It leads to a better relationship between government and military,It relies on the quality of military equipment,It allows the military to make strategic decisions,A
3284,Which group of protists is known to cause serious human and livestock diseases?,Alveolata,Amoebozoa,Chromista,Excavata,"Opisthokonts, basal",A
3285,What is the best known member of the Amoebozoa group of protists?,Ciliophora,Apicomplexa,Dinoflagellata,Slime mold,Archamoebae,D
3286,Which group of protists is mostly studied for evolutionary interest?,Alveolata,Amoebozoa,Chromista,Excavata,"Opisthokonts, basal",C
3287,Which group of protists includes both animals and fungi?,Alveolata,Amoebozoa,Chromista,Excavata,"Opisthokonts, basal",E
3288,Which group of protists is researched for their role in human disease?,Alveolata,Amoebozoa,Chromista,Excavata,"Opisthokonts, basal",D
3289,What is space debris?,Nonfunctional spacecraft and abandoned launch vehicle stages,"Fragments from disintegration, erosion, and collisions",Paint flecks and solidified liquids expelled from spacecraft,Unburned particles from solid rocket motors,All of the above,E
3290,"What is the term ""pharming"" referring to?",The use of genetic engineering to insert genes that code for useful pharmaceuticals into host animals or plants,The production of recombinant proteins using bacteria or yeast in a bioreactor,The creation of genetically modified organisms (GMOs),The development of therapeutic proteins for human diseases,The cultivation of transgenic tobacco and potato plants for human serum albumin production,A
3291,What is the main objective of the Radio Galaxy Zoo project?,To locate supermassive black holes in distant galaxies,To identify black hole/jet pairs,To cross-identify extragalactic radio sources,To study the origin of black holes,To build a more complete picture of black holes at various stages,E
3292,What is the definition of survivability in the military environment?,The ability to withstand a hit,The ability to avoid being detected,The ability to recover after a hit,The ability to remain mission capable after an engagement,The ability to escape and evacuate,D
3293,What is the design principle that states the tradeoff between flexibility and usability?,Efficiency-Consistency principle,Flexibility-Usability tradeoff,Simplicity-Complexity tradeoff,Adaptability-Compatibility principle,Consistency-Usability tradeoff,B
3294,What is a simultaneous game in game theory?,A game where each player chooses their action without knowledge of the actions chosen by other players.,A game where players take turns and alternate their moves.,A game where players act at the same time and observe each other's moves.,A game where players have full information about each other's moves.,A game where players act in response to the action taken by the first player.,A
3295,What is the weapon target assignment problem (WTA)?,A problem in the field of optimization and operations research,A problem in the field of computer programming,A problem in the field of social sciences,A problem in the field of economics,A problem in the field of physics,A
3296,What is one reason that underwater computer vision is still in an early stage of development compared to traditional computer vision?,The need to be able to record and process huge amounts of information has become increasingly important,Cameras have to be made waterproof and marine corrosion deteriorates materials quickly,"Access and modifications to experimental setups are costly, both in time and resources","The physical properties of the water make light behave differently, changing the appearance of the same object",Underwater computer vision is not as important as traditional computer vision,D
3297,What is the primary use of Apache Forrest?,Integrating and aggregating content from various sources and presenting them in a unified format,Managing content workflow and admin functions,Creating and publishing web pages,Providing a content management system (CMS),Converting files to PDF format,A
3298,Which faculty member at LoCSST works on Computational plasma physics and Magnetohydrodynamics?,Supriya Chakrabarti,Dimitris Christodoulou,Ofer Cohen,Timothy Cook,Christopher Hansen,C
3299,Who is the Co-Director of HEROES at LoCSST and works on greener advanced materials and elastomers?,Supriya Chakrabarti,Ramaswamy Nagarajan,Silas Laycock,Marianna Maiaru,Jay Weitzen,B
3300,What project at LoCSST received a $5.6 million grant from NASA?,Planetary Imaging Concept Testbed,Experimental astronomy and space physics,Black Hole High mass X-ray Binary,Computational Astrophysics and Space Physics,Observational Astronomy,A
3301,What is the purpose of the PICTURE C project at LoCSST?,"To study the disk of dust, asteroids, planets, and other debris orbiting stars",To develop and test a recoverable experiment – coronagraph,"To detect young, Jupiter-size planets capable of supporting life",To gain a better understanding of the processes and dynamics that formed the solar system,All of the above,E
3302,What is the purpose of pGreen plasmids?,To improve plasmid stability,To provide resistance to kanamycin,To provide resistance to hygromycin,To allow the insertion of a gene of interest into a 35S over-expression cassette,To allow the insertion of a gene of interest into a 35S over-expression cassette and improve plasmid stability,E
3303,What is the main purpose of fluorescence correlation spectroscopy (FCS)?,To analyze the concentration fluctuations of fluorescent particles in solution,To observe the fluorescence emitted from a very tiny space in solution,To study the kinetic parameters of physical processes,To analyze the stationary fluctuations of fluorescence intensity,To understand L. Onsager's regression hypothesis,A
3304,What is a footprint or land pattern?,The arrangement of pads used to physically attach and electrically connect a component to a printed circuit board,The arrangement of leads on a component,The arrangement of components on a printed circuit board,The arrangement of pins on a component,The arrangement of layers on a printed circuit board,A
3305,What are the three integral components of an active structure?,"Load carrying part, sensors, processor","Load carrying part, actuators, sensors","Load carrying part, processor, actuators","Sensors, processor, actuators","Actuators, sensors, load carrying part",C
3306,What is the purpose of an iso-elastic system in a Steadicam?,To maintain angular direction and load-bearing over a large range of motion,To absorb the bouncing of the operator's body,To prevent physical motion at one end from occurring at the other end,To tension the camera and operator vertically and independently,To isolate a film or video camera from the operator's movements,B
3307,What is an interstitial defect in materials science?,A type of point crystallographic defect where an atom occupies an interstitial site in the crystal structure,A type of point crystallographic defect where an atom occupies a vacancy site in the crystal structure,A type of point crystallographic defect where an atom occupies an edge dislocation site in the crystal structure,A type of point crystallographic defect where an atom occupies a substitutional site in the crystal structure,A type of point crystallographic defect where an atom occupies a grain boundary site in the crystal structure,A
3308,What was Ajay Adrushyappa Desai known for?,Studying wild elephants in Sri Lanka,Researching behavior of wild elephants,Conservation of marine biology,Studying tiger relocation,Studying deforestation in wildlife settlements,D
3309,Who is the current commissioner of the Ondo State Ministry of Health?,Banji Awolowo Ajaka,John Doe,Jane Smith,Michael Johnson,Sarah Thompson,A
3310,What is cylindrical algebraic decomposition (CAD)?,A decomposition of Rn into connected semialgebraic sets,An algorithm for quantifier elimination over the reals,A computational complexity for real algebraic geometry,A projection from Rn to Rn−k,A notion of polynomial sign,A
3311,Who introduced the notion of cylindrical algebraic decomposition?,George E. Collins,Tarski–Seidenberg,Rn,CAD,Rn−k,A
3312,What is the computational complexity of Collins' algorithm for cylindrical algebraic decomposition?,Double exponential in n,Linear in n,Exponential in n,Polynomial in n,Logarithmic in n,A
3313,What does the condition for cylindrical algebraic decomposition state?,The images by π of the cells define a cylindrical decomposition of Rn−k,The minimal number of cells is double exponential,The algorithm for CAD has a double exponential complexity,The projection π(c) ∩ π(d) = ∅,The projection π(c) = π(d),A
3314,What is the advantage of CAD over the original proof of Tarski–Seidenberg theorem?,Better computational complexity,More efficient quantifier elimination,Improved projection algorithm,Simpler polynomial sign computation,Faster image projection,A
3315,What is the purpose of a UI specification document?,To capture the details of the software user interface,To specify the actions that an end user may perform,"To consider usability, localization, and demo limits",To assist the implementation team with forward compatibility constraints,To bridge the gap between product management functions and implementation,E
3316,When was the American Society for Microbiology founded?,1899,1960,1990,2010,ASM does not provide information on its founding year,A
3317,What is the mission of the American Society for Microbiology?,To promote and advance the microbial sciences,To advocate for scientific research,To foster a deeper public understanding of microbiology,All of the above,ASM does not provide information on its mission,D
3318,How many members does the American Society for Microbiology have?,"30,000","10,000","50,000","100,000",ASM does not provide information on its membership,A
3319,What is the name of the annual meeting hosted by ASM?,ASM Microbe,ASM General Meeting,Interscience Conference on Antimicrobial Agents and Chemotherapy,ASM Annual Meeting,ASM does not host an annual meeting,A
3320,How many journals does ASM publish?,18,10,30,50,ASM does not publish journals,A
3321,What is Thomas E. Weber known for?,Being a journalist at The Daily Beast,Being a professor at Princeton University,Being the editor of The Wall Street Journal,Being the president of The Daily Princetonian,Being named one of the top journalists under age 30,A
3322,What is Owen Finlay Maclaren known for?,Inventing the lightweight baby buggy,Designing the Spitfire undercarriage legs,Forming the company Andrews Maclaren,Designing the Maclaren Radiator,Attending Marlborough College and Blair Lodge Academy,A
3323,What is the approximate nominal Earth radius?,"6,378 km","6,357 km","6,371 km","6,385 km","6,362 km",C
